PRIZE_LOTTERY_SCAM,WINNER!! You have been selected to receive a $1000 Walmart gift card. Call NOW!,
PRIZE_LOTTERY_SCAM,Congratulations! Your phone number won our weekly lottery. Claim prize now.,
PRIZE_LOTTERY_SCAM,FREE entry in weekly competition to win FA Cup final tickets.,
ACCOUNT_SECURITY_SCAM,URGENT Your account has been compromised click link to verify now.,
ADULT_SCAM,You have unread messages from a secret admirer visit site to read.,
JOB_SCAM,Earn $500 per day working from home no experience needed.,
ACCOUNT_SECURITY_SCAM,Your SBI account is blocked update KYC immediately.,
LOAN_SCAM,Loan approved get money instantly no documents needed.,
ACCOUNT_SECURITY_SCAM,Your Paytm wallet is suspended verify immediately.,
ADULT_SCAM,Hot singles in your area want to meet you.,
PAYMENT_FRAUD,FINAL NOTICE You owe money avoid legal action call now.,
PHARMA_SCAM,Buy medicine online cheapest prices no prescription needed.,
LOAN_SCAM,Pre approved personal loan with low interest apply now.,
PRIZE_LOTTERY_SCAM,Claim your free iPhone complete survey now.,
MARKETING_SCAM,Limited time miracle weight loss pill offer.,
DELIVERY_SCAM,Your delivery is on hold pay customs fee now.,
PRIZE_LOTTERY_SCAM,Unclaimed cashback redeem immediately.,
INVESTMENT_SCAM,Make money fast join our MLM business.,
UTILITY_BILL_SCAM,Electricity bill overdue pay now to avoid disconnection.,
PRIZE_LOTTERY_SCAM,Free vacation package selected call now.,
DELIVERY_SCAM,Your Amazon package is delayed reschedule now.,
GAMBLING_SCAM,Win big betting bonus offer.,
ACCOUNT_SECURITY_SCAM,Google account accessed from unknown device verify now.,
SUBSCRIPTION_SCAM,Netflix subscription expired renew now.,
MARKETING_SCAM,Free 5G SIM upgrade available.,
INVESTMENT_SCAM,Instant credit card offer apply now.,
JOB_SCAM,Work from home opportunity guaranteed income.,
OTP_PHISHING,Your OTP code was generated if not you call support immediately.,
MARKETING_SCAM,Special Diwali offer buy gold at discount.,
LEGIT,Hey are you coming to the office tomorrow,
LEGIT,Can you pick up milk and bread,
LEGIT,Project report deadline reminder,
LEGIT,Happy birthday wishes,
LEGIT,Running late due to traffic,
LEGIT,Request to reschedule call,
LEGIT,Thanks for restaurant recommendation,
LEGIT,Doctor appointment confirmation,
LEGIT,Electricity bill payment reminder,
LEGIT,IPL match discussion,
LEGIT,Please review attached document,
LEGIT,Dinner is ready message,
LEGIT,WiFi password shared,
LEGIT,Order shipped notification,
LEGIT,Movie recommendation,
LEGIT,Meeting notes shared,
LEGIT,Salary credited notification,
LEGIT,Library book available,
LEGIT,Recipe request,
LEGIT,Team lunch information,
LEGIT,Book discussion message,
LEGIT,Internship offer letter,
LEGIT,Power outage maintenance notification,
LEGIT,Insurance renewal reminder,
LEGIT,Provident fund balance info,
LEGIT,Morning walk plan,
LEGIT,Coding assignment deadline extended,
LEGIT,HR leave application info,
LEGIT,Flight schedule notification,
KYC_SCAM,Your KYC is pending update now to avoid account suspension,
COURIER_SCAM,Dear customer your courier is on hold pay 25 rupees to release,
TRAFFIC_SCAM,Traffic police notice pay fine via govtraffic-pay.in,
UPI_PHISHING,UPI blocked verify now to receive refund,
LEGIT,Your account has been credited with Rs 5000,
KYC_SCAM,Click immediately to update bank details,
COURIER_SCAM,Delivery failed pay small fee to reschedule courier,
TRAFFIC_SCAM,Pay traffic challan through official portal within 24 hours
UPI_PHISHING,Send 1 rupee to confirm UPI identity,
LEGIT,Meeting at 3 pm today,
